cohort,N,policy,meanBuyImprovementPct,medianBuyImprovementPct,p10,p25,p75,p90,cheaperRate,dearerRate,D5,D10,D15,D30,D30p95,D30ES95,D30worst,remaining30,common60Remaining,lostUpsidePP,capture1,capture2,capture3,capture5
FIRST_CLOSED_DIP,328,WAIT10,1.06622525628004,0.7653865912019997,-0.373974000366839,0.11236622974771238,1.5951421514920794,3.0707001606821835,0.7591463414634146,0.15853658536585366,0.8234035420242687,1.1809065893562818,1.3993414815851961,1.8765581406144687,5.467584429675845,7.281499611537473,10.619469026548678,1.889173522100151,2.216817896202977,-0.5291775173009329,0.8689655172413793,0.8555555555555555,0.847457627118644,1.0
FIRST_CLOSED_DIP,328,DIP_CLOSE_FALLBACK10,1.1184108158782642,0.8002433435031375,0.06702968630232675,0.3744150858808054,1.506166463889644,2.3586098962353144,0.9115853658536586,0.036585365853658534,0.8155475201927274,1.1747254693204823,1.4069791250482595,1.89114233473757,5.654714015753924,6.990536217386471,8.533653846153843,2.015041092497038,2.4290976900765786,-0.7414573111745345,0.9586206896551724,0.9666666666666667,0.9491525423728814,1.0
FIRST_CLOSED_DIP,328,OBSERVE5_DELAY_DIP10,1.06622525628004,0.7653865912019997,-0.373974000366839,0.11236622974771238,1.5951421514920794,3.0707001606821835,0.7591463414634146,0.15853658536585366,0.8234035420242687,1.1809065893562818,1.3993414815851961,1.8765581406144687,5.467584429675845,7.281499611537473,10.619469026548678,1.889173522100151,2.216817896202977,-0.5291775173009329,0.8689655172413793,0.8555555555555555,0.847457627118644,1.0
FIRST_CLOSE_UP1,194,IMMEDIATE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6371132012054108,0.9673044589366315,1.1398137550117682,1.5377002505807515,5.263157894736848,10.008502006734295,12.857142857142856,3.9821484507483618,4.7303427114490315,0.0,1.0,1.0,1.0,1.0
FIRST_CLOSE_UP1,194,WAIT5,-1.567570819755666,-1.3255745864441448,-3.558201923706086,-2.2134428782494053,-0.7729772741183694,0.0,0.041237113402061855,0.8144329896907216,1.3112798204761145,1.8315006732161272,2.194321978243689,2.577648004266662,6.840123317754375,10.97131902316657,16.43835616438356,2.442650471534568,3.0111403997179598,1.7192023117310713,0.7352941176470589,0.6068965517241379,0.5225225225225225,0.5
FIRST_CLOSE_UP1,194,WAIT10,-1.5326503136161918,-1.2170435469536889,-5.000000000000004,-2.5372089987025834,0.0,0.27032904989472323,0.12886597938144329,0.7010309278350515,1.2404888045378755,1.8303215160169808,2.01378794378646,2.41092061912678,6.400556680161931,10.618616510480608,14.084507042253524,2.3597793637312554,2.829581943870859,1.9007607675781724,0.6470588235294118,0.5310344827586206,0.5135135135135135,0.48214285714285715
FIRST_CLOSE_UP1,194,DIP_CLOSE_FALLBACK10,-1.5326503136161918,-1.2170435469536889,-5.000000000000004,-2.5372089987025834,0.0,0.27032904989472323,0.12886597938144329,0.7010309278350515,1.2404888045378755,1.8303215160169808,2.01378794378646,2.41092061912678,6.400556680161931,10.618616510480608,14.084507042253524,2.3597793637312554,2.829581943870859,1.9007607675781724,0.6470588235294118,0.5310344827586206,0.5135135135135135,0.48214285714285715
FIRST_CLOSE_UP1,194,OBSERVE5_DELAY_DIP10,-1.567570819755666,-1.3255745864441448,-3.558201923706086,-2.2134428782494053,-0.7729772741183694,0.0,0.041237113402061855,0.8144329896907216,1.3112798204761145,1.8315006732161272,2.194321978243689,2.577648004266662,6.840123317754375,10.97131902316657,16.43835616438356,2.442650471534568,3.0111403997179598,1.7192023117310713,0.7352941176470589,0.6068965517241379,0.5225225225225225,0.5
FIRST_HIGH_TOUCH3,88,IMMEDIATE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7795615001166936,2.523966176969146,2.8434914199773593,3.090009343738135,12.5,12.928571428571429,14.28571428571429,5.000216082991844,5.974181939704802,0.0,1.0,1.0,1.0,1.0
FIRST_HIGH_TOUCH3,88,WAIT5,-1.0774959047400106,-0.42406393451690505,-5.078947368421054,-3.3495145631068035,0.0,3.746438746438757,0.17045454545454544,0.5113636363636364,1.9642631485188509,2.9208869942536633,3.275671186849701,3.6604036057486047,12.013888888888879,13.287671232876711,16.43835616438356,3.6392497738214376,4.3943863304575705,1.5797956092472314,0.8095238095238095,0.7096774193548387,0.5932203389830508,0.5
FIRST_HIGH_TOUCH3,88,WAIT10,-0.6618815141583554,-0.3682487725040873,-5.8685843203609735,-3.4508370125092003,0.0,5.000000000000004,0.23863636363636365,0.5,1.7816150320903648,2.5147127142739034,2.619897253451848,3.020202177391206,10.936507936507937,12.539123630672927,14.084507042253524,4.076460680112001,4.675035485288073,1.299146454416729,0.7142857142857143,0.6290322580645161,0.5932203389830508,0.5263157894736842
